Tytuł: Władca Pierścieni; Autor: J.R.R. Tolkien; Gatunek: Fantasy; Ilość stron: 1200; Rok wydania: 1954; Opis: Trylogia fantasy o świecie Śródziemia.
Tytuł: Duma i Uprzedzenie; Autor: Jane Austen; Gatunek: Romans; Ilość stron: 432; Rok wydania: 1813; Opis: Romans historyczny o społeczeństwie XIX-wiecznej Anglii.
Tytuł: Zbrodnia i Kara; Autor: Fiodor Dostojewski; Gatunek: Dramat; Ilość stron: 671; Rok wydania: 1866; Opis: Powieść o moralnych dylematach mordercy.
Tytuł: Białe noce; Autor: Fiodor Dostojewski; Gatunek: Romans; Ilość stron: 96; Rok wydania: 1848; Opis: Historia o samotności i niespełnionej miłości podczas magicznych, letnich nocy w Petersburgu.
Tytuł: Pan Tadeusz; Autor: Adam Mickiewicz; Gatunek: Epika; Ilość stron: 340; Rok wydania: 1834; Opis: Epicka opowieść o konflikcie między szlachtą litewską w czasie zaborów, pełna wątków patriotycznych i obyczajowych.
Tytuł: Dziady; Autor: Adam Mickiewicz; Gatunek: Dramat; Ilość stron: 290; Rok wydania: 1823; Opis: Dramat przedstawiający kontakt z duchami zmarłych, ukazujący różne oblicza miłości, tęsknoty i żalu.
Tytuł: Krzyżacy; Autor: Henryk Sienkiewicz; Gatunek: Powieść historyczna; Ilość stron: 780; Rok wydania: 1900; Opis: Powieść historyczna osadzona w czasach średniowiecznych, przedstawiająca walkę Polaków z zakonem krzyżackim.
Tytuł: W pustyni i w puszczy; Autor: Henryk Sienkiewicz; Gatunek: Przygoda; Ilość stron: 330; Rok wydania: 1911; Opis: Przygody dwojga dzieci, które muszą przetrwać w afrykańskiej dżungli po porwaniu przez niewolników.
Tytuł: Mały Książę; Autor: Antoine de Saint-Exupéry; Gatunek: Baśń; Ilość stron: 112; Rok wydania: 1943; Opis: Opowieść o małym chłopcu podróżującym między planetami, który odkrywa mądrość i wartości przyjaźni oraz miłości.
Tytuł: Lalka; Autor: Bolesław Prus; Gatunek: Powieść społeczna; Ilość stron: 687; Rok wydania: 1890; Opis: Powieść o miłości i rozczarowaniach, osadzona w Warszawie, eksplorująca społeczne i ekonomiczne zmiany w XIX wieku.
Tytuł: Cierpienia młodego Wertera; Autor: Johann Wolfgang von Goethe; Gatunek: Romans; Ilość stron: 256; Rok wydania: 1774; Opis: Listy młodego artysty, który doświadcza nieszczęśliwej miłości i dramatycznych emocji.
Tytuł: Opowieść wigilijna; Autor: Charles Dickens; Gatunek: Powieść świąteczna; Ilość stron: 104; Rok wydania: 1843; Opis: Historia Ebenezera Scrooge'a, skąpego człowieka, który zmienia swoje życie po wizycie duchów.
Tytuł: Bajki i przypowieści; Autor: Ignacy Krasicki; Gatunek: Bajka; Ilość stron: 150; Rok wydania: 1779; Opis: Zbiór moralizatorskich bajek, które w zabawny sposób ukazują wady i zalety ludzi.
Tytuł: Lokomotywa; Autor: Julian Tuwim; Gatunek: Poezja dziecięca; Ilość stron: 10; Rok wydania: 1938; Opis: Wiersz dla dzieci o lokomotywie, który bawi i uczy poprzez radosne opisy i rytmiczną formę.
Tytuł: Ferdydurke; Autor: Witold Gombrowicz; Gatunek: Groteska; Ilość stron: 300; Rok wydania: 1937; Opis: Powieść w formie groteskowego traktatu o młodości, dorastaniu i społecznych konwenansach.
Tytuł: Oskar i pani Róża; Autor: Éric-Emmanuel Schmitt; Gatunek: Powieść psychologiczna; Ilość stron: 80; Rok wydania: 2002; Opis: Poruszająca historia chłopca chorego na białaczkę, który dzięki przyjaźni z pielęgniarką odkrywa sens życia.
Tytuł: Czarnoksiężnik z Krainy Oz; Autor: L. Frank Baum; Gatunek: Fantasy; Ilość stron: 192; Rok wydania: 1900; Opis: Opowieść o małej dziewczynce Dorotce, która trafia do magicznej krainy i wyrusza w podróż, aby wrócić do domu.
Tytuł: Mała księżniczka; Autor: Frances Hodgson Burnett; Gatunek: Powieść dla dzieci; Ilość stron: 240; Rok wydania: 1905; Opis: Historia dziewczynki, która mimo trudności i biedy, nie traci swojej godności i marzeń.
Tytuł: Wesele; Autor: Stanisław Wyspiański; Gatunek: Dramat; Ilość stron: 170; Rok wydania: 1901; Opis: Dramat ukazujący zderzenie tradycji ze współczesnością, pełen symboliki i komentarzy społecznych.
Tytuł: Księga dżungli; Autor: Rudyard Kipling; Gatunek: Powieść przygodowa; Ilość stron: 240; Rok wydania: 1894; Opis: Przygody Mowgliego, chłopca wychowanego przez wilki w dżungli, który musi zmierzyć się z ludzkim światem.
Tytuł: Treny; Autor: Jan Kochanowski; Gatunek: Poezja elegijna; Ilość stron: 76; Rok wydania: 1580; Opis: Zbiór elegii poświęconych zmarłej córce, wyrażający ból i smutek po stracie bliskiej osoby.
Tytuł: Balladyna; Autor: Juliusz Słowacki; Gatunek: Dramat romantyczny; Ilość stron: 136; Rok wydania: 1839; Opis: Tragiczna historia sióstr, Aliny i Balladyny, oraz ich rywalizacji o władzę i miłość, która kończy się zdradą i morderstwem.
Tytuł: Dżuma; Autor: Albert Camus; Gatunek: Powieść egzystencjalna; Ilość stron: 320; Rok wydania: 1947; Opis: Historia epidemii dżumy w mieście Oran, będąca metaforą ludzkiej walki z cierpieniem, absurdalnością życia i śmiercią. Książka ukazuje różne postawy ludzi wobec nieuchronnej katastrofy.
